augmentation_idx,synthetic_days,avg,min,max,pct_change_vs_no_aug
0,0,0.07882864028215408,0.07882864028215408,0.08605217933654785,0.0
1,252,0.08599919080734253,0.08599919080734253,0.08773260563611984,9.096377280545049
2,504,0.07872190326452255,0.07872190326452255,0.0869048610329628,-0.13540385480389266
3,756,0.09078077971935272,0.09078077971935272,0.09227357059717178,15.162178865978065
4,1008,0.08207870274782181,0.08207870274782181,0.08420690894126892,4.122946246484354
5,1260,0.08745905756950378,0.08745905756950378,0.09123817831277847,10.948326974128374
6,1512,0.09036974608898163,0.09036974608898163,0.10364478826522827,14.640752099133088
7,1764,0.10659684985876083,0.10659684985876083,0.10677871853113174,35.22604154684774
8,2016,0.10740011930465698,0.10740011930465698,0.11852435022592545,36.24504865266737
9,2268,0.088007353246212,0.088007353246212,0.10729946196079254,11.643880867669717
10,2520,0.1129489317536354,0.1129489317536354,0.12391557544469833,43.28413042436529
11,2772,0.10098893940448761,0.10098893940448761,0.10274020582437515,28.11198955482982
12,3024,0.11302264034748077,0.11302264034748077,0.11860544979572296,43.37763526420718
13,3276,0.10404789447784424,0.10404789447784424,0.11355338990688324,31.992501843774047
14,3528,0.0946558266878128,0.0946558266878128,0.11732892692089081,20.077964492356998
15,3780,0.1441464126110077,0.1441464126110077,0.1498440057039261,82.86045794404096
16,4032,0.09328220039606094,0.09328220039606094,0.12265665829181671,18.335417257195775
17,4284,0.10047304630279541,0.10047304630279541,0.12814699113368988,27.457540740483093
18,4536,0.10979030281305313,0.10979030281305313,0.1325208693742752,39.27717441284906
19,4788,0.10966944694519043,0.10966944694519043,0.1296120584011078,39.123859745197656
20,5040,0.11236055940389633,0.11236055940389633,0.18706759810447693,42.537736286862604
21,5292,0.1256229430437088,0.1256229430437088,0.12592841684818268,59.36205748832182
22,5544,0.12753543257713318,0.12753543257713318,0.15411540865898132,61.78819287081597
23,5796,0.12028960138559341,0.12028960138559341,0.12553812563419342,52.5963164593943
24,6048,0.11424456536769867,0.11424456536769867,0.11946026980876923,44.92773814032456
25,6300,0.1300601065158844,0.1300601065158844,0.14473439753055573,64.99092975643846
26,6552,0.15547943115234375,0.15547943115234375,0.18593302369117737,97.23723585213551
27,6804,0.11998538672924042,0.11998538672924042,0.12243441492319107,52.21039751513228
28,7056,0.1636030375957489,0.1636030375957489,0.1759161651134491,107.5426355321605
29,7308,0.14881281554698944,0.14881281554698944,0.25741180777549744,88.7801375418104
30,7560,0.13300825655460358,0.13300825655460358,0.14559778571128845,68.73087760809081
31,7812,0.13239166140556335,0.13239166140556335,0.16089901328086853,67.94868074812568
32,8064,0.14402082562446594,0.14402082562446594,0.14812365174293518,82.70114150005278
33,8316,0.14631208777427673,0.14631208777427673,0.1535836011171341,85.60777815090658
34,8568,0.13221684098243713,0.13221684098243713,0.1665964424610138,67.72690802377006
35,8820,0.14868350327014923,0.14868350327014923,0.1660284548997879,88.61609528968306
36,9072,0.1320568174123764,0.1320568174123764,0.14749225974082947,67.52390620934328
37,9324,0.1413010060787201,0.1413010060787201,0.23462636768817902,79.2508478808673
38,9576,0.14751964807510376,0.14751964807510376,0.21569661796092987,87.13965831083928
39,9828,0.11873449385166168,0.11873449385166168,0.1387413591146469,50.6235467549246
40,10080,0.1572512686252594,0.1572512686252594,0.18302880227565765,99.48494362252664
