run_idx,column,mae,experiment
0,0,0.0,TATR
1,0,0.1508873403072357,TATR
2,0,0.1708350926637649,TATR
3,0,0.1447206437587738,TATR
0,1,1.0,TATR
1,1,0.1253818720579147,TATR
2,1,0.1122866794466972,TATR
3,1,0.1558426320552826,TATR
0,2,2.0,TATR
1,2,0.2128558307886123,TATR
2,2,0.1883130371570587,TATR
3,2,0.2510356903076172,TATR
0,3,3.0,TATR
1,3,0.2339371889829635,TATR
2,3,0.1972133517265319,TATR
3,3,0.2305456399917602,TATR
0,4,4.0,TATR
1,4,0.234466552734375,TATR
2,4,0.1992804557085037,TATR
3,4,0.2003896981477737,TATR
0,5,5.0,TATR
1,5,0.2234290391206741,TATR
2,5,0.2278250902891159,TATR
3,5,0.2221012711524963,TATR
0,6,6.0,TATR
1,6,0.2944059073925018,TATR
2,6,0.1936652511358261,TATR
3,6,0.2071419060230255,TATR
0,7,7.0,TATR
1,7,0.3451392352581024,TATR
2,7,0.2595863044261932,TATR
3,7,0.2709897458553314,TATR
0,8,8.0,TATR
1,8,0.2156330347061157,TATR
2,8,0.3172914683818817,TATR
3,8,0.3257746398448944,TATR
0,9,9.0,TATR
1,9,0.3425778746604919,TATR
2,9,0.2781189680099487,TATR
3,9,0.2246768027544021,TATR
0,10,10.0,TATR
1,10,0.3083769381046295,TATR
2,10,0.2948860228061676,TATR
3,10,0.3224121034145355,TATR
0,0,0.0,TMTR
1,0,0.2855089604854584,TMTR
2,0,0.2959097623825073,TMTR
3,0,0.3488854467868805,TMTR
0,1,1.0,TMTR
1,1,0.3164093196392059,TMTR
2,1,0.245676189661026,TMTR
3,1,0.311719000339508,TMTR
0,2,2.0,TMTR
1,2,0.4258332848548889,TMTR
2,2,0.2889606058597564,TMTR
3,2,0.3299134075641632,TMTR
0,3,3.0,TMTR
1,3,0.4556171596050262,TMTR
2,3,0.4164003431797027,TMTR
3,3,0.4419459700584411,TMTR
0,4,4.0,TMTR
1,4,0.4973145425319671,TMTR
2,4,0.4908477663993835,TMTR
3,4,0.5478828549385071,TMTR
