protocol,augmentation_blocks,mean_pct,min_pct,max_pct,mean_mape,min_mape,max_mape
continuous_chunked,0,0.0,0.0,0.0,0.0628571957349777,0.0559794157743454,0.06973497569561
continuous_chunked,30,-83.58778623358114,-85.0382946193617,-82.1372778478006,0.01021649455651635,0.0099994475021958,0.0104335416108369
continuous_chunked,50,-84.52684913103988,-84.7461716064776,-84.30752665560215,0.009710904210805851,0.0087845548987388,0.0106372535228729
continuous_chunked,70,-79.04467845101803,-81.00750480519079,-77.08185209684528,0.01303692860528825,0.0128294453024864,0.0132444119080901
continuous_chunked,100,-70.15352992557573,-76.3698800278216,-63.937179823329856,0.018333107233047402,0.0164784584194421,0.0201877560466527
continuous_cross_refit_scaler,0,0.0,0.0,0.0,0.0605367179960012,0.0473376773297786,0.0737357586622238
continuous_cross_refit_scaler,30,-65.37317258322652,-86.55584427289824,-44.1905008935548,0.018166035413742,0.0099131502211093,0.0264189206063747
continuous_cross_refit_scaler,50,-66.13906849332109,-83.33472648208297,-48.9434105045592,0.0182286347262561,0.0122882658615708,0.0241690035909414
continuous_cross_refit_scaler,70,-70.00822870087856,-82.04533005424275,-57.97112734751438,0.016567252110689802,0.0132390120998024,0.0198954921215772
continuous_cross_refit_scaler,100,-63.28157711863952,-64.13715910721174,-62.42599513006729,0.0223410567268729,0.01697663590312,0.0277054775506258
independent_fixed,0,0.0,0.0,0.0,0.06977193057537075,0.0629964172840118,0.0765474438667297
independent_fixed,30,59.55226291148384,15.707672086419064,103.39685373654861,0.1083519980311393,0.0885712653398513,0.1281327307224273
independent_fixed,50,131.00089809526023,117.43324718727546,144.568549003245,0.1602545082569122,0.1540694236755371,0.1664395928382873
independent_fixed,70,181.11739645195007,135.76873092762875,226.46606197627142,0.19306842982769007,0.1804749369621276,0.2056619226932525
independent_fixed,100,137.12341766513967,110.59600405839045,163.65083127188888,0.1636482179164886,0.1612058579921722,0.166090577840805
