stage,seed,protocol,baseline_mape,best_x,best_mape,best_pct_vs_baseline,final_x,final_mape,final_pct_vs_baseline,n_points
tmtr_reference,42,tmtr_reference,0.1525667607784271,30,0.0883225873112678,-42.108892618137965,100,0.4995324313640594,227.41891406446717,11
tmtr_continuous_offsets,42,tmtr_continuous_offset30,0.1021724343299865,90,0.0204286146908998,-80.00574731837995,100,0.0560258328914642,-45.16541251183518,11
tmtr_continuous_offsets,42,tmtr_continuous_offset50,0.038433238863945,0,0.038433238863945,0.0,100,0.5937190651893616,1444.8062217476588,11
tmtr_reference,43,tmtr_reference,0.0854933485388755,70,0.0534118115901947,-37.525184703804996,100,0.4948535561561584,478.8211183834246,11
tmtr_continuous_offsets,43,tmtr_continuous_offset30,0.048197578638792,0,0.048197578638792,0.0,100,0.0797746926546096,65.51597592166722,11
tmtr_continuous_offsets,43,tmtr_continuous_offset50,0.0962862595915794,0,0.0962862595915794,0.0,100,0.5932071805000305,516.0870543899587,11
tmtr_reference,44,tmtr_reference,0.091343879699707,60,0.0872773230075836,-4.451920266023519,100,0.4752146005630493,420.2478831918649,11
tmtr_continuous_offsets,44,tmtr_continuous_offset30,0.0948690697550773,50,0.0345988608896732,-63.529882838530206,100,0.0611028485000133,-35.5924447686037,11
tmtr_continuous_offsets,44,tmtr_continuous_offset50,0.0693080350756645,0,0.0693080350756645,0.0,100,0.5933482050895691,756.1030542011514,11
tmtr_reference,45,tmtr_reference,0.0907023251056671,30,0.0869912281632423,-4.091512470161509,100,0.4959355294704437,446.77267522379924,11
tmtr_continuous_offsets,45,tmtr_continuous_offset30,0.1225146502256393,50,0.0406291633844375,-66.83730206174575,100,0.0761131569743156,-37.874240481333885,11
tmtr_continuous_offsets,45,tmtr_continuous_offset50,0.0622602589428424,0,0.0622602589428424,0.0,100,0.5926355123519897,851.8680494021952,11
tmtr_reference,46,tmtr_reference,0.1538557857275009,40,0.0821437388658523,-46.60991234262726,100,0.4997527301311493,224.81893857165565,11
tmtr_continuous_offsets,46,tmtr_continuous_offset30,0.0771743282675743,100,0.0490641668438911,-36.42423854500073,100,0.0490641668438911,-36.42423854500073,11
tmtr_continuous_offsets,46,tmtr_continuous_offset50,0.0985948368906974,0,0.0985948368906974,0.0,100,0.5937798619270325,502.2423492472522,11
tmtr_reference,47,tmtr_reference,0.1081854552030563,20,0.0801896080374717,-25.877644192593547,100,0.4976821839809418,360.02688905530624,11
tmtr_continuous_offsets,47,tmtr_continuous_offset30,0.0844844579696655,90,0.0393772535026073,-53.39112725710348,100,0.0699240639805793,-17.234405403079183,11
tmtr_continuous_offsets,47,tmtr_continuous_offset50,0.109288603067398,0,0.109288603067398,0.0,100,0.5908096432685852,440.5958413653018,11
