output_folder,storyline,experiment,data,settings_key,primary_varied_settings,do_not_rerun_unless_changing
01_sp500_downstream_replication/01_sp500_paper_protocol_resource_aware,sp500_downstream,TATR+TMTR,sp500-prices,"sp500-prices | TATR+TMTR | author_independent_blocks | ahead=1 | runs=5 | epochs=100 | grid=0..10 blocks | tmtr=0..100 step10 | seed=42","resource-aware author-style TATR/TMTR","protocol, seed count, epochs, model, or split"
01_sp500_downstream_replication/02_sp500_tatr_single_diagnostic,sp500_downstream,TATR,sp500-prices,"sp500-prices | TATR | single_continuous_trajectory | ahead=1 | runs=1_of_5 | epochs=100 | grid=0,10,...,100 | seed=42","continuous trajectory prefixes","more completed seeds or different continuous-generation rule"
01_sp500_downstream_replication/03_sp500_tatr_author_style_1day,sp500_downstream,TATR,sp500-prices,"sp500-prices | TATR | author_independent_blocks | ahead=1 | runs=10 | epochs=100 | grid=0..10 blocks | seed=42","one-day author-style independent blocks","seed, number of runs, grid, or training protocol"
01_sp500_downstream_replication/04_sp500_tatr_author_style_5day,sp500_downstream,TATR,sp500-prices,"sp500-prices | TATR | author_independent_blocks | ahead=5 | runs=3 | epochs=100 | grid=0..40 blocks | seed=42","five-day author-style independent blocks","horizon, runs, grid, or protocol"
01_sp500_downstream_replication/05_sp500_prices_and_returns_sweeps/downstream_prices_sp500,sp500_downstream,TATR+TMTR,sp500-prices,"sp500-prices | TATR+TMTR | reduced_author_style | ahead=1 | runs=10 | epochs=50 | grid=0..10 blocks | tmtr=0..100 step10 | seed=42","reduced price sweep","full epoch count, protocol, or downstream task"
01_sp500_downstream_replication/05_sp500_prices_and_returns_sweeps/downstream_returns_sp500,sp500_downstream,TATR+TMTR,sp500-returns,"sp500-returns | TATR+TMTR | reduced_author_style | ahead=1 | runs=3 | epochs=25 | grid=0..10 blocks | tmtr=0..100 step10 | seed=42","reduced returns sweep","return transform, loss/metric, epochs, or protocol"
01_sp500_downstream_replication/06_tatr_audit,sp500_downstream,audit,sp500-prices,"sp500-prices | audit | stored matrices authors/random_init/single | columns=0,10,...,100","synthesis artifact","upstream result folders change"
01_sp500_downstream_replication/07_replication_report,sp500_downstream,report,mixed,"report | compiled replication context | depends_on=sp500 downstream outputs","synthesis artifact","upstream result folders change"
01_sp500_downstream_replication/08_replicability_diagnostic,sp500_downstream,diagnostic,sp500-prices,"diagnostic | evidence synthesis | author_style vs single vs stored audit","synthesis artifact","upstream result folders change"
01_sp500_downstream_replication/09_protocol_search,sp500_downstream,TATR,sp500-prices,"sp500-prices | TATR | protocol_search | ahead=1 | runs=1_each | epochs=100 | protocols=continuous_cross,continuous_chunked,independent_fixed,continuous_refit | grid=0,10,30,50,70,100 | seed=42","generation protocol","new protocol candidates or more seeds"
01_sp500_downstream_replication/10_protocol_multiseed,sp500_downstream,TATR,sp500-prices,"sp500-prices | TATR | protocol_multiseed | ahead=1 | runs=2 seeds | epochs=100 | protocols=continuous_chunked,independent_fixed,continuous_refit | grid=0,30,50,70,100 | seeds=42,43","protocol robustness across two seeds","more seeds, different grid, or different protocol"
01_sp500_downstream_replication/11_long_replication_batch,sp500_downstream,TATR+TMTR,sp500-prices,"sp500-prices | TATR+TMTR | long_batch | ahead=1_and_5 | runs=6 | epochs=100 | TATR=0..100 blocks | controls=0,20,...,100 | TMTR=0..100 step10 | seeds=42..47","long batch across protocols/seeds/horizons","more assets, more seeds, different model, or corrected author protocol"
02_goog_zcf_real_asset_sisc/12_sisc_pattern_library,goog_zcf_real_asset_sisc,SISC,GOOG+ZC=F,"assets=GOOG,ZC=F | SISC | k=11 | l_min=10 | l_max=21 | init=kmeans++ | barycenter=dba | data=Yahoo adjusted close | dates=GOOG 2005-01-01..2020-01-01, ZC=F 2001-01-01..2020-01-01","real-asset SISC pattern libraries","asset, date range, K, segment lengths, init, or barycenter"
02_goog_zcf_real_asset_sisc/13_paper_comparison,goog_zcf_real_asset_sisc,comparison,GOOG+ZC=F,"assets=GOOG,ZC=F | comparison | depends_on=SISC k11 artifacts + PGM/PEM checkpoints","comparison note","underlying SISC/architecture artifacts or comparison framing"
03_appendix_b3_simulated_sisc/14_b3_sisc_simulated_replication,appendix_b3_simulated_sisc,SISC,B3-toy,"B3-toy | multi K=4 + derived one-pattern | l_min=10 | l_max=20 | max_iters=10 | seed=42 | metric=normalized per-unit DTW + boundary Jaccard tol2","initial B.3 end-to-end attempt","metric definition, one-pattern construction, seed, or iteration count"
03_appendix_b3_simulated_sisc/15_b3_sisc_simulated_replication_max20,appendix_b3_simulated_sisc,SISC,B3-toy,"B3-toy | multi K=4 + derived one-pattern | l_min=10 | l_max=20 | max_iters=20 | seed=42 | metric=normalized per-unit DTW + boundary Jaccard tol2","stricter max-20 B.3 attempt","metric definition, one-pattern construction, seed, or iteration count beyond 20"
03_appendix_b3_simulated_sisc/16_b3_sisc_sweep,appendix_b3_simulated_sisc,SISC sweep,B3-toy,"B3-toy | multi K=4 | seeds=0..9 for lmax20 iter10; seeds=0..4 for lmax20 iter20; seeds=0..2 for lmax21 iter20 | init=kmeans++ | barycenter=dba | metrics=boundary_Jaccard_tol0/1/2/5 + author_interval_IoU","seed/l_max/iteration sweep","new seed range, new init/barycenter, new synthetic data, or exact author generator/code"
04_presentation_figures,presentation,figures,organized-results,"presentation_figures | source=organized generated outputs | script=scripts/generate_presentation_figures.py | figures=13","slide-ready visual summaries, including pattern-diffusion mechanism visuals, matched-handoff PDF, and GIF animations","upstream result tables, presentation story, or visual style"
05_original_claim_reproduction_audit,audit,claim_audit,organized-results,"claim_audit | source=organized generated outputs | script=scripts/build_reproduction_failure_audit.py | claims=TATR+TMTR+B3","claim-by-claim synthesis of what could not be reproduced and why","upstream result tables, original-paper claim framing, or failure classification"
