asset,k,pattern,label,segment_count,mean_length,min_length,max_length
goog,11,1,0,37,15.108108108108109,10,21
goog,11,2,1,33,13.878787878787879,10,21
goog,11,3,2,21,12.619047619047619,10,19
goog,11,4,3,10,12.1,10,21
goog,11,5,4,23,16.391304347826086,10,21
goog,11,6,5,30,16.766666666666666,10,21
goog,11,7,6,7,10.714285714285714,10,12
goog,11,8,7,34,14.088235294117647,10,21
goog,11,9,8,20,17.35,11,21
goog,11,10,9,20,13.6,10,21
goog,11,11,10,23,13.434782608695652,10,21
zcf,11,1,0,12,16.75,10,21
zcf,11,2,1,27,16.814814814814813,10,21
zcf,11,3,2,25,14.36,10,21
zcf,11,4,3,53,14.566037735849056,10,21
zcf,11,5,4,6,12.666666666666666,10,17
zcf,11,6,5,27,15.555555555555555,10,21
zcf,11,7,6,28,11.107142857142858,10,21
zcf,11,8,7,54,15.555555555555555,10,21
zcf,11,9,8,15,12.933333333333334,10,20
zcf,11,10,9,30,14.733333333333333,10,21
zcf,11,11,10,44,15.772727272727273,10,21
