protocol,synthetic_proportion_pct,train_windows,mape,fit_seconds,pct_change_vs_real_only
independent_argmax,0,1197,0.2738143503665924,3.16,0.0
independent_argmax,25,1134,0.22213828563690186,3.075,-18.87266487695214
independent_argmax,50,1134,0.44852176308631897,3.06,63.80506079605471
independent_argmax,75,1134,0.5536124110221863,3.062,102.18531654056491
independent_argmax,100,1197,0.5551765561103821,3.114,102.75655945975511
continuous_argmax,0,1197,0.15815111994743347,3.18,0.0
continuous_argmax,25,1134,0.230666384100914,3.084,45.85188152798619
continuous_argmax,50,1134,0.05720292776823044,3.076,-63.830210126084694
continuous_argmax,75,1134,0.3041324317455292,3.067,92.30494975098324
continuous_argmax,100,1197,0.11423899978399277,3.263,-27.765924248931206
independent_sampled,0,1197,0.13395275175571442,3.169,0.0
independent_sampled,25,1134,0.2488401234149933,3.034,85.76708589667162
independent_sampled,50,1134,0.5014963150024414,3.044,274.38298835174743
independent_sampled,75,1134,0.5597026348114014,3.048,317.83586188069813
independent_sampled,100,1197,0.5459825992584229,3.133,307.5934179046316
continuous_sampled,0,1197,0.1973894238471985,3.156,0.0
continuous_sampled,25,1134,0.1934969425201416,3.067,-1.9719806923749374
continuous_sampled,50,1134,0.25177431106567383,3.066,27.55207759285793
continuous_sampled,75,1134,0.10597482323646545,3.068,-46.31180274455746
continuous_sampled,100,1197,0.24148620665073395,3.278,22.339992662256975
