folder,experiment,data,protocol,ahead,runs,epochs,window_size,hidden_dim,loss,tatr_grid,tmtr_grid,mix_length,runtime_seconds,headline
01_sp500_paper_protocol_resource_aware,TATR+TMTR,prices,author_style_independent_blocks,1,5,100,64,32,mae,"0..10 blocks","0..100 pct by 10",1260,1357.9,"TATR baseline 0.05744 best 0.05501 at block 2 final 0.08746; TMTR baseline 0.10201 best 0.09800 at 10 pct final 0.48458"
02_sp500_tatr_single_diagnostic,TATR,prices,single_continuous_trajectory,1,"1 completed of 5 attempted",100,64,32,mae,"0,10,...,100 blocks",n/a,n/a,n/a,"Baseline 0.06605 best 0.00685 at block 50 final 0.01911; diagnostic protocol only"
03_sp500_tatr_author_style_1day,TATR,prices,author_style_independent_blocks,1,10,100,64,32,mae,"0..10 blocks",n/a,n/a,1368.4,"Baseline 0.06430 best 0.06081 at block 2 final 0.09291"
04_sp500_tatr_author_style_5day,TATR,prices,author_style_independent_blocks,5,3,100,64,32,mae,"0..40 blocks",n/a,n/a,2626.5,"Baseline 0.07883 best 0.07872 at block 2 final 0.15725"
05_sp500_prices_and_returns_sweeps/downstream_prices_sp500,TATR+TMTR,prices,reduced_author_style,1,10,50,64,32,mae,"0..10 blocks","0..100 pct by 10",1260,1260.5,"TATR baseline 0.10732 best 0.09162 at block 2 final 0.14715; TMTR baseline 0.14698 best 0.14189 at 10 pct final 0.49764"
05_sp500_prices_and_returns_sweeps/downstream_returns_sp500,TATR+TMTR,returns,reduced_author_style_on_returns,1,3,25,64,32,mae,"0..10 blocks","0..100 pct by 10",1260,196.2,"Return MAPE not comparable to paper price MAPE; TATR best 1.02420 at block 2; TMTR best 1.05894 at 60 pct"
06_tatr_audit,audit,prices,stored_protocol_comparison,1,"stored matrices mostly 30",mixed,64,32,mae,"0,10,...,100 columns",n/a,n/a,n/a,"Stored SP500 authors final worsens to 0.18857; stored SP500 single improves to best 0.01318 at 50 and final 0.01734"
07_replication_report,report,mixed,compiled_report,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"PDF/LaTeX/tables/figures summarizing replication context"
08_replicability_diagnostic,diagnostic,prices,evidence_synthesis,mixed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Verdict: not replicable with released reference code and stored S&P artifacts under tested author-style protocols"
09_protocol_search,TATR,prices,protocol_search,1,"1 per variant",100,64,32,mae,"0,10,30,50,70,100 blocks",n/a,n/a,1187,"Continuous variants reproduce paper-like drop; independent_fixed final is 96.51 pct worse than baseline"
10_protocol_multiseed,TATR,prices,protocol_multiseed,1,"2 complete seeds",100,64,32,mae,"0,30,50,70,100 blocks",n/a,n/a,"near 1h","continuous_chunked final -70.15 pct; continuous_cross_refit_scaler final -63.28 pct; independent_fixed final +137.12 pct"
11_long_replication_batch,TATR+TMTR,prices,long_batch,1 and 5,6,100,64,32,mae,"TATR 0..100 blocks; controls 0,20,...,100","0..100 pct by 10",1260,10478,"TATR continuous best -84.85 pct final -65.21 pct; 5-day best -85.19 pct; independent_fixed final +193.20 pct; TMTR mixed"
