eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.011855431987593522,0.0005978437363831088,0.011647233561767835,0.012077861814759621,30
10,0.017387790605425783,0.0025342333044481875,0.016516190828600216,0.018310680174423943,30
20,0.0170219399966299,0.0023774297525251025,0.016250355041120147,0.017936098896898282,30
30,0.0175481787261863,0.00418947900737605,0.016242545179556995,0.019181218561716323,30
40,0.017887071209649198,0.0028617378288000508,0.016909384507841074,0.018930075836833513,30
50,0.016520164192964582,0.0017680301682768181,0.01591581207467237,0.017195917289548827,30
60,0.01723598040019468,0.002927340307198918,0.016290134201602347,0.018391847920914438,30
70,0.017829929043849266,0.0030715973417185854,0.016828386189881667,0.019009902595231883,30
80,0.017462940669308053,0.0022868976412236453,0.016673467627260793,0.018316812814834167,30
90,0.018330809256682744,0.004023108812452975,0.017099461136385757,0.019869114702256968,30
100,0.017675551896293905,0.0024423345719047705,0.016827330929227127,0.018580823996259477,30
